nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,hcat4_name_auto,hcat4_code_auto
si,1.0,pšenica (jara),wheat (spring),3310101002,spring_common_soft_wheat,winter_common_soft_wheat,3310101001.0
si,10.0,proso,Proso millet,3310109000,millet,millet,3310109000.0
si,100.0,vinska trta,Common grape vine,3330600000,vineyards_wine_vine_rebland_grapes,rubia_tinctorum_common_madder,3310613000.0
si,10002.0,ni v uporabi,not in use,3390000000,not_known_and_other,fallow_land_not_crop,3311100000.0
si,10003.0,Unknown,unknown,3390000000,not_known_and_other,not_known_and_other,3390000000.0
si,101.0,krmna pesa,Beet fodder,3310719020,mangelwurzel_beets,other_beta_vulgaris,3310719030.0
si,102.0,krmna repa,Turnip,3310715050,turnips,turnips,3310715050.0
si,103.0,oljna repica,Oilseed rape,3310604010,rapeseed_rape,winter_rapeseed_rape,3310604011.0
si,104.0,krmna repica (jara),Oilseed rape spring,3310604012,spring_rapeseed_rape,spring_rye,3310103002.0
si,105.0,krmni ohrovt,Fodder cabbage,3310707990,other_brassicaceae_cruciferae,red_cabbage,3310707110.0
si,106.0,krmni radič,Fodder chicory,3310717010,chicory_chicories,rye,3310103000.0
si,107.0,krmno korenje,Daucus,3310715020,carrots_daucus,carrots_daucus,3310715020.0
si,108.0,podzemna koleraba,Swede,3310715070,swede_rutabaga,swede_rutabaga,3310715070.0
si,109.0,krmni sirek,Sorghum,3310116000,sorghum,sorghum,3310116000.0
si,11.0,mešanice žit (jara),Spring cereal mixture,3310198002,spring_unspecified_cereals,cereal,3310100000.0
si,110.0,grašica (jara),Vetch (spring),3310202050,vetches,spring_common_soft_wheat,3310101002.0
si,111.0,bela gorjušica,White mustard,3310707010,mustard,mustard,3310707010.0
si,112.0,krmna ogrščica (jara),Fodder oat (spring),3310604012,spring_rapeseed_rape,spring_rye,3310103002.0
si,113.0,oljna redkev,Fodder Radish,3310715040,radish,radish,3310715040.0
si,114.0,mešane rastline za krmo na njivah,Mixed crops for fodder on arable land.,3310000000,arable_crops,arable_crops,3310000000.0
si,115.0,abesinska gizotija,Guizotia abyssinica,3310604030,guizotia_abyssinica_nyger,guizotia_abyssinica_nyger,3310604030.0
si,116.0,sudanska trava,Sudan grass,3310116000,sorghum,grassland_grass,3320000000.0
si,12.0,sončnice,sunflowers,3310604020,sunflower,sunflower,3310604020.0
si,129.0,"mešanice z rastlinami, ki vežejo dušik",Nitrogen-fixing plant mixtures.,3310200000,legumes,cress,3310718000.0
si,13.0,oljna buča,Oil pumpkin,3310702040,pumpkin_squash_gourd,pumpkin_squash_gourd,3310702040.0
si,14.0,oljna ogrščica (jara),oilseed rape (spring),3310604012,spring_rapeseed_rape,spring_rye,3310103002.0
si,17.0,krmni bob,Field bean,3310201010,beans,beans,3310201010.0
si,19.0,sladkorna pesa,Sugar beet,3310719010,sugar_beet,sugar_beet,3310719010.0
